collisions,steps,timestamp
8.0,540.0,1551182975.127754
7.0,541.0,1551182975.143394
9.0,542.0,1551182975.160011
9.0,543.0,1551182975.1731358
9.0,544.0,1551182975.179878
7.0,545.0,1551182975.193861
8.0,546.0,1551182975.210478
7.0,547.0,1551182975.225989
8.0,548.0,1551182975.241363
9.0,549.0,1551182975.258687
10.0,550.0,1551182975.272487
5.0,551.0,1551182975.279819
9.0,552.0,1551182975.298924
11.0,553.0,1551182975.3144388
9.0,554.0,1551182975.327112
11.0,555.0,1551182975.3401191
9.0,556.0,1551182975.357527
10.0,557.0,1551182975.372538
10.0,558.0,1551182975.3916109
11.0,559.0,1551182975.406423
7.0,560.0,1551182975.4129121
6.0,561.0,1551182975.426971
6.0,562.0,1551182975.4426801
6.0,563.0,1551182975.458293
7.0,564.0,1551182975.4742458
6.0,565.0,1551182975.490386
6.0,566.0,1551182975.497091
9.0,567.0,1551182975.51045
9.0,568.0,1551182975.525921
7.0,569.0,1551182975.540139
8.0,570.0,1551182975.547938
6.0,571.0,1551182975.5617778
6.0,572.0,1551182975.575496
6.0,573.0,1551182975.592479
6.0,574.0,1551182975.606221
4.0,575.0,1551182975.61411
4.0,576.0,1551182975.632019
5.0,577.0,1551182975.6474721
5.0,578.0,1551182975.662583
12.0,579.0,1551182975.6799748
7.0,580.0,1551182975.693463
9.0,581.0,1551182975.709257
6.0,582.0,1551182975.724936
10.0,583.0,1551182975.742203
11.0,584.0,1551182975.7580879
10.0,585.0,1551182975.772406
10.0,586.0,1551182975.778636
9.0,587.0,1551182975.7976398
11.0,588.0,1551182975.8140721
11.0,589.0,1551182975.8278599
10.0,590.0,1551182975.8438349
11.0,591.0,1551182975.8613188
8.0,592.0,1551182975.877147
4.0,593.0,1551182975.891965
8.0,594.0,1551182975.9100091
6.0,595.0,1551182975.927561
7.0,596.0,1551182975.942702
6.0,597.0,1551182975.9595678
8.0,598.0,1551182975.9735522
8.0,599.0,1551182975.98067
6.0,600.0,1551182975.9955158
5.0,601.0,1551182976.00896
8.0,602.0,1551182976.023565
8.0,603.0,1551182976.0397692
7.0,604.0,1551182976.046628
6.0,605.0,1551182976.0608482
7.0,606.0,1551182976.077325
7.0,607.0,1551182976.091688
7.0,608.0,1551182976.107261
9.0,609.0,1551182976.1147342
7.0,610.0,1551182976.127564
7.0,611.0,1551182976.141269
7.0,612.0,1551182976.1595788
8.0,613.0,1551182976.177514
7.0,614.0,1551182976.1921768
9.0,615.0,1551182976.2059038
8.0,616.0,1551182976.213324
6.0,617.0,1551182976.226617
8.0,618.0,1551182976.241718
8.0,619.0,1551182976.256856
7.0,620.0,1551182976.2633832
6.0,621.0,1551182976.280489
8.0,622.0,1551182976.297708
7.0,623.0,1551182976.310451
8.0,624.0,1551182976.324464
8.0,625.0,1551182976.340812
8.0,626.0,1551182976.360511
10.0,627.0,1551182976.3811982
8.0,628.0,1551182976.394263
9.0,629.0,1551182976.407118
9.0,630.0,1551182976.424165
8.0,631.0,1551182976.441061
8.0,632.0,1551182976.458272
8.0,633.0,1551182976.47276
8.0,634.0,1551182976.492726
5.0,635.0,1551182976.5067961
9.0,636.0,1551182976.525044
8.0,637.0,1551182976.539084
5.0,638.0,1551182976.5464342
8.0,639.0,1551182976.568311
10.0,640.0,1551182976.580099
10.0,641.0,1551182976.594511
9.0,642.0,1551182976.607142
9.0,643.0,1551182976.614233
9.0,644.0,1551182976.627031
8.0,645.0,1551182976.640049
7.0,646.0,1551182976.646841
8.0,647.0,1551182976.660897
10.0,648.0,1551182976.6773918
10.0,649.0,1551182976.6937332
10.0,650.0,1551182976.709683
9.0,651.0,1551182976.7230022
10.0,652.0,1551182976.728984
10.0,653.0,1551182976.741889
9.0,654.0,1551182976.7568371
10.0,655.0,1551182976.763139
8.0,656.0,1551182976.776494
8.0,657.0,1551182976.790645
9.0,658.0,1551182976.8057559
9.0,659.0,1551182976.81199
9.0,660.0,1551182976.829687
10.0,661.0,1551182976.842655
9.0,662.0,1551182976.857814
9.0,663.0,1551182976.874277
7.0,664.0,1551182976.88933
8.0,665.0,1551182976.906365
7.0,666.0,1551182976.912761
10.0,667.0,1551182976.929107
5.0,668.0,1551182976.942372
9.0,669.0,1551182976.9585888
7.0,670.0,1551182976.9730968
5.0,671.0,1551182976.9796531
5.0,672.0,1551182976.997165
5.0,673.0,1551182977.009776
4.0,674.0,1551182977.0241559
8.0,675.0,1551182977.040143
6.0,676.0,1551182977.047905
6.0,677.0,1551182977.062546
6.0,678.0,1551182977.075318
8.0,679.0,1551182977.088507
8.0,680.0,1551182977.095318
6.0,681.0,1551182977.108654
6.0,682.0,1551182977.121685
7.0,683.0,1551182977.129942
9.0,684.0,1551182977.144453
8.0,685.0,1551182977.157941
8.0,686.0,1551182977.1720269
8.0,687.0,1551182977.178734
7.0,688.0,1551182977.1931279
11.0,689.0,1551182977.213303
13.0,690.0,1551182977.226743
12.0,691.0,1551182977.243695
13.0,692.0,1551182977.2566059
12.0,693.0,1551182977.2632372
13.0,694.0,1551182977.280421
12.0,695.0,1551182977.293217
9.0,696.0,1551182977.306178
9.0,697.0,1551182977.312431
10.0,698.0,1551182977.329839
8.0,699.0,1551182977.345829
6.0,700.0,1551182977.361818
12.0,701.0,1551182977.3756402
11.0,702.0,1551182977.391679
13.0,703.0,1551182977.406722
14.0,704.0,1551182977.413155
11.0,705.0,1551182977.4257312
9.0,706.0,1551182977.441053
8.0,707.0,1551182977.4560168
10.0,708.0,1551182977.462668
8.0,709.0,1551182977.4796999
8.0,710.0,1551182977.496019
11.0,711.0,1551182977.5092711
8.0,712.0,1551182977.525302
8.0,713.0,1551182977.539576
10.0,714.0,1551182977.557608
8.0,715.0,1551182977.572659
